用户ID,性别,年龄,所在地区代码,年保费,购买保险渠道,距离上次沟通时间,是否有驾照,是否购买过车险,车龄,此前是否发生事故,是否响应
374281,女,27,10,28623,152,274,1,是,1-2 年,否,0
94877,女,27,28,30382,152,275,1,是,< 1 年,否,0
243119,女,32,28,27139,124,69,1,否,< 1 年,是,0
56322,男,21,8,33175,152,242,1,是,< 1 年,否,0
74673,男,46,28,37562,26,15,1,否,> 2 年,是,0
74842,男,56,41,42754,26,290,1,是,1-2 年,是,0
223044,男,61,33,20249,152,144,1,是,1-2 年,否,0
326711,女,43,28,34639,124,133,1,是,1-2 年,否,0
378453,男,22,41,29868,160,290,1,是,< 1 年,否,0
271958,男,49,45,27725,124,45,1,是,1-2 年,否,0
205160,男,44,33,26554,124,96,1,否,1-2 年,是,0
356513,女,66,3,2630,25,49,1,是,1-2 年,是,0
39760,女,41,29,2630,26,224,1,是,1-2 年,否,0
46247,女,21,5,27432,152,136,1,否,< 1 年,是,0
37412,男,27,28,48995,151,276,1,是,< 1 年,否,0
263475,女,55,0,2630,122,275,1,是,1-2 年,否,0
18490,女,64,33,29704,157,214,1,否,1-2 年,是,0
226501,男,34,3,25740,154,237,1,否,1-2 年,否,0
167856,女,29,32,23482,152,157,1,是,< 1 年,否,0
197427,女,42,8,40330,7,114,1,是,1-2 年,否,0
139323,男,47,30,39585,124,290,1,是,1-2 年,否,0
152937,女,43,44,23892,124,127,1,否,1-2 年,是,0
359880,男,25,8,2630,152,291,1,否,< 1 年,是,0
86935,女,29,8,36760,152,277,1,是,< 1 年,否,0
323448,男,21,28,69231,160,188,1,是,< 1 年,否,0
277990,女,45,28,36941,26,123,1,否,1-2 年,是,0
339618,男,48,28,51763,124,78,1,是,1-2 年,否,0
367937,女,22,6,24352,152,57,1,是,< 1 年,否,0
68628,男,30,3,2630,157,180,1,是,1-2 年,是,0
75630,男,39,28,35351,124,68,1,否,1-2 年,否,0
70359,男,50,41,34490,26,178,1,否,1-2 年,是,0
43867,男,21,9,44013,152,47,1,是,< 1 年,否,0
63233,女,27,6,27005,152,166,1,是,< 1 年,否,0
95356,男,22,30,28586,152,189,1,是,< 1 年,否,0
176000,男,38,16,30107,152,221,1,是,1-2 年,否,0
272041,女,46,28,32905,26,178,1,否,1-2 年,否,1
175650,男,36,11,26286,163,292,1,否,1-2 年,是,1
346847,女,22,17,35483,152,48,1,否,< 1 年,是,0
60983,女,21,2,28788,152,19,1,否,< 1 年,是,0
359497,女,23,28,2630,152,280,1,否,< 1 年,是,0
26071,男,25,8,32693,152,143,1,是,< 1 年,否,0
296306,女,26,8,42148,152,167,1,是,< 1 年,否,0
47713,男,33,8,92928,154,294,1,否,1-2 年,是,1
353796,女,27,30,29789,152,127,1,是,< 1 年,否,0
379241,男,21,31,2630,163,236,1,否,< 1 年,是,0
280409,男,23,20,2630,152,255,1,是,< 1 年,否,0
114254,女,56,28,51932,124,210,1,否,1-2 年,是,0
226792,女,25,50,35693,152,17,1,是,< 1 年,否,0
79003,男,54,28,40633,30,88,1,否,1-2 年,是,0
58674,女,27,28,39708,152,152,1,是,< 1 年,否,0
213887,女,24,18,36039,152,194,1,是,< 1 年,否,0
153680,女,25,28,34517,124,223,1,否,< 1 年,是,0
332811,女,22,41,37841,152,167,1,是,< 1 年,否,0
279632,男,39,29,2630,157,138,1,否,1-2 年,是,0
342962,女,24,46,24831,152,131,1,是,< 1 年,否,0
245242,女,30,9,32019,152,82,1,是,< 1 年,否,0
273940,男,31,41,2630,156,20,1,否,< 1 年,是,0
56468,男,64,48,2630,26,298,1,是,1-2 年,否,0
28000,女,24,8,2630,160,78,1,否,< 1 年,是,0
97232,女,32,46,33377,157,252,1,否,1-2 年,是,0
47628,男,71,28,54603,55,277,1,否,1-2 年,是,0
115936,女,65,37,55354,124,104,1,是,1-2 年,否,0
339273,男,42,30,24066,124,191,1,是,1-2 年,是,0
44325,女,50,35,24035,156,90,1,否,1-2 年,是,0
210974,男,58,6,24662,26,131,1,否,> 2 年,是,0
35812,女,59,28,35838,124,190,1,是,1-2 年,否,0
209334,男,33,30,30145,26,160,1,是,< 1 年,否,0
170864,男,24,50,20460,152,142,1,是,< 1 年,否,0
129899,女,62,8,26004,154,59,1,否,1-2 年,是,0
211548,女,48,41,20164,60,219,1,否,1-2 年,是,0
164930,女,54,41,45111,124,273,1,否,1-2 年,是,0
109853,女,24,11,2630,152,182,1,是,< 1 年,否,0
11274,男,38,11,31880,31,254,1,否,1-2 年,是,0
210346,女,34,8,34886,156,229,1,否,1-2 年,是,0
260369,男,58,18,2630,124,31,1,是,1-2 年,否,0
217462,男,49,41,23322,122,35,1,否,1-2 年,是,0
378075,男,40,8,33651,124,290,1,是,1-2 年,否,0
366484,男,63,30,26539,152,241,1,是,1-2 年,否,0
274987,女,60,28,50710,124,251,1,否,1-2 年,是,0
193685,男,62,8,2630,31,79,1,否,> 2 年,是,0
9064,女,23,36,38263,152,14,1,是,< 1 年,否,0
315232,女,43,46,38097,124,206,1,否,1-2 年,是,0
285407,女,40,8,61295,124,179,1,是,1-2 年,否,0
168311,女,65,28,56508,55,187,1,是,1-2 年,否,0
216866,女,24,50,37067,152,258,1,是,< 1 年,否,0
378456,男,45,28,35685,124,63,1,否,1-2 年,是,0
329602,女,25,49,27678,152,247,1,是,< 1 年,否,0
246858,女,40,8,34658,124,94,1,是,1-2 年,否,0
90249,女,21,5,2630,160,264,1,是,< 1 年,是,0
201272,女,23,46,38355,152,246,1,是,< 1 年,否,0
329592,女,44,46,22081,26,42,1,是,1-2 年,否,0
180246,男,29,3,30689,124,49,1,是,1-2 年,否,0
46869,女,24,9,23842,152,224,1,是,< 1 年,否,0
266058,男,53,28,39283,122,273,1,否,> 2 年,是,0
166773,女,26,41,38136,152,166,1,是,< 1 年,是,0
188364,男,36,8,38487,124,103,1,否,1-2 年,是,0
85456,男,24,6,35027,152,111,1,是,< 1 年,否,0
15113,女,36,35,31560,124,281,1,是,1-2 年,否,0
110532,女,22,15,36096,152,110,1,是,< 1 年,否,0
74714,女,64,31,2630,152,298,1,是,1-2 年,否,0
239363,女,22,13,27018,152,170,1,是,< 1 年,否,0
237838,男,23,8,32743,152,296,1,否,< 1 年,是,0
373751,女,25,6,33393,152,171,1,是,< 1 年,否,0
214339,男,50,38,35036,7,122,1,否,1-2 年,是,0
273821,女,41,29,26567,157,94,1,否,1-2 年,是,0
378011,男,26,25,29695,152,78,1,否,< 1 年,是,0
364644,男,47,3,20118,124,80,1,否,1-2 年,是,0
360133,男,20,47,30865,160,98,1,否,< 1 年,是,0
283088,女,60,28,61211,157,293,1,否,1-2 年,否,0
298915,男,22,37,32343,152,24,1,否,< 1 年,是,0
203217,女,29,35,2630,124,150,1,否,1-2 年,是,0
308786,女,24,12,20967,152,67,1,是,< 1 年,否,0
99330,女,47,28,37325,26,173,1,是,1-2 年,否,0
34511,男,48,28,50452,26,85,1,是,1-2 年,否,0
245206,男,65,8,39506,3,165,1,否,> 2 年,是,1
162042,女,24,36,30024,160,295,1,是,< 1 年,否,0
294386,男,38,3,2630,26,281,1,否,1-2 年,是,0
148191,女,72,47,54705,26,35,1,否,1-2 年,是,0
58956,女,32,11,2630,157,25,1,否,1-2 年,是,0
189976,男,37,14,25585,156,221,1,否,1-2 年,是,0
178322,男,62,50,42506,8,27,1,是,1-2 年,否,0
114096,男,46,28,43378,124,247,1,是,1-2 年,否,0
108117,女,25,36,31788,152,245,1,否,< 1 年,是,0
294848,男,39,11,30897,120,28,1,是,1-2 年,否,0
84237,女,21,39,34994,160,176,1,否,< 1 年,是,0
19617,男,24,18,44751,152,35,1,是,< 1 年,否,0
50742,男,52,28,38835,26,230,1,是,1-2 年,否,0
70791,女,28,8,29888,152,254,1,是,< 1 年,否,0
113029,女,27,30,24714,160,249,1,是,< 1 年,否,0
179699,男,32,30,28119,152,231,1,是,< 1 年,否,0
156264,女,59,28,31117,124,61,1,否,1-2 年,是,0
54653,男,54,50,29280,26,136,1,否,1-2 年,是,0
118423,男,72,28,57756,122,99,1,否,1-2 年,是,0
308128,女,65,28,59089,124,184,1,否,1-2 年,是,1
307861,男,54,28,45769,26,140,1,否,1-2 年,是,1
79322,女,27,30,29099,152,113,1,是,< 1 年,否,0
365271,男,23,13,27265,151,93,1,否,< 1 年,是,0
233150,女,22,14,33080,152,43,1,是,< 1 年,否,0
216522,女,71,28,39976,24,248,1,否,1-2 年,是,0
52619,男,28,8,29496,152,156,1,是,< 1 年,否,0
164315,女,46,28,37202,26,275,1,是,1-2 年,否,0
289136,男,22,46,30130,152,119,1,是,< 1 年,否,0
29021,男,22,30,32518,152,64,1,是,< 1 年,否,0
97438,男,23,45,39988,26,251,1,否,< 1 年,是,0
16267,女,48,28,49926,26,182,1,否,> 2 年,是,0
109703,女,78,8,53923,124,104,1,是,1-2 年,否,0
219262,女,23,24,29191,152,65,1,否,< 1 年,否,0
204136,男,40,48,2630,124,157,1,是,1-2 年,是,0
377821,男,49,14,25514,26,234,1,否,1-2 年,是,1
106473,男,53,2,20694,26,94,1,是,1-2 年,否,0
80617,男,72,28,42063,122,230,1,否,1-2 年,是,0
135015,男,26,28,2630,1,86,1,是,< 1 年,否,0
175967,男,21,8,57295,160,28,1,否,< 1 年,是,0
69295,女,32,8,45704,26,107,1,否,1-2 年,是,1
378957,女,26,41,2630,26,162,1,是,< 1 年,否,0
164053,男,47,46,2630,4,155,1,否,1-2 年,是,1
299841,男,24,36,30614,152,36,1,否,< 1 年,否,0
259150,女,63,37,40546,152,219,1,是,1-2 年,否,0
337379,女,57,41,32515,124,190,1,是,1-2 年,是,0
216316,男,45,37,2630,26,272,1,是,1-2 年,否,0
79613,男,36,28,81546,124,45,1,是,1-2 年,否,0
74432,男,20,43,32592,160,51,1,是,< 1 年,否,0
324843,女,23,12,25644,152,127,1,是,< 1 年,是,0
106494,女,53,11,45179,26,141,1,是,1-2 年,是,0
238918,男,57,30,26406,26,298,1,是,1-2 年,否,0
39169,男,60,46,28933,26,18,1,是,1-2 年,否,0
62538,女,26,16,2630,160,144,1,是,< 1 年,否,0
177641,女,40,18,2630,109,74,1,否,1-2 年,否,1
198410,女,66,11,30188,120,84,1,是,1-2 年,否,0
138356,男,42,11,23993,26,167,1,否,1-2 年,是,1
177230,男,47,36,35366,124,225,1,否,1-2 年,是,1
53219,男,56,45,44358,26,55,1,否,1-2 年,是,1
240930,女,62,18,28556,26,55,1,否,1-2 年,是,1
93595,女,27,15,23431,152,180,1,是,< 1 年,否,0
261197,男,23,8,41966,152,11,1,是,< 1 年,否,0
309299,男,41,40,35775,124,216,1,否,1-2 年,是,1
2181,男,51,38,24532,122,211,1,否,1-2 年,是,1
621,男,73,46,41623,26,146,1,否,1-2 年,是,0
372949,男,23,36,37418,124,211,1,否,< 1 年,是,0
155570,男,62,29,2630,26,146,1,否,1-2 年,否,0
361794,男,23,13,29679,152,139,1,否,< 1 年,是,0
332311,男,73,28,35303,23,133,1,是,1-2 年,否,0
283043,女,31,12,2630,152,67,1,是,< 1 年,否,0
163749,女,21,11,25369,160,97,1,是,< 1 年,否,0
176421,女,22,27,32282,152,98,1,否,< 1 年,是,0
8739,男,38,28,41798,13,289,1,否,1-2 年,是,1
154028,男,38,30,2630,163,164,1,否,1-2 年,是,1
290903,女,26,16,2630,152,64,1,是,< 1 年,否,0
36921,男,64,28,45076,26,44,1,否,1-2 年,是,0
375497,女,23,41,25356,152,260,1,是,< 1 年,否,0
94173,男,42,47,30589,124,151,1,否,1-2 年,是,0
241984,女,26,28,71513,152,255,1,是,< 1 年,否,0
54682,男,58,33,42833,26,270,1,否,1-2 年,是,0
1374,女,75,28,49332,124,49,1,否,> 2 年,是,1
352714,男,49,36,26426,124,194,1,否,1-2 年,是,0
13759,男,24,10,29979,152,73,1,否,< 1 年,是,0
348500,女,41,6,22659,26,213,1,否,1-2 年,是,0
255258,男,44,28,38291,26,90,1,否,1-2 年,是,0
271562,男,24,3,27908,152,124,1,是,< 1 年,否,0
37731,男,50,28,61303,55,263,1,否,1-2 年,是,0
86962,男,24,15,33649,152,145,1,是,< 1 年,否,0
262278,男,31,41,31714,156,30,1,否,1-2 年,是,0
136501,男,21,35,27614,152,255,1,是,< 1 年,否,0
123311,女,54,1,2630,26,212,1,是,1-2 年,否,0
