用户ID,性别,年龄,是否有驾照,所在地区,是否此前购买过车险,车龄,车辆是否发生过事故,年保费,购买渠道,距离上次沟通时间间隔
381110,0,25,1,11,1,0,0,35786,152,53
381111,0,40,1,28,0,1,1,33762,7,111
381112,0,47,1,28,0,1,1,40050,124,199
381113,0,24,1,27,1,0,1,37356,152,187
381114,0,27,1,28,1,0,0,59097,152,297
381115,0,22,1,30,1,0,0,40207,152,266
381116,1,51,1,37,1,1,0,40118,26,107
381117,0,25,1,41,1,0,0,23375,152,232
381118,0,42,1,41,0,1,1,2630,26,277
381119,1,37,1,12,1,1,0,27124,124,133
381120,0,40,1,7,1,1,0,2630,124,91
381121,0,64,1,28,0,2,1,32051,124,254
381122,1,23,1,46,1,0,0,27688,26,29
381123,0,47,1,3,0,1,1,28739,124,22
381124,1,55,1,48,0,1,1,2630,124,169
381125,0,24,1,28,1,0,0,42261,26,270
381126,0,25,1,24,0,0,1,42660,152,207
381127,0,41,1,10,0,1,1,15006,124,141
381128,0,26,1,28,1,0,0,46139,152,35
381129,1,28,1,37,1,0,0,34907,152,293
381130,1,26,1,15,1,0,0,33599,152,78
381131,1,24,1,6,1,0,0,35885,152,177
381132,1,21,1,45,0,0,1,33346,160,73
381133,1,42,1,8,0,1,1,2630,26,270
381134,0,58,1,28,0,1,1,41016,24,201
381135,1,27,1,10,1,0,0,18806,152,107
381136,1,21,1,46,1,0,0,29917,160,153
381137,0,44,1,8,1,1,0,31197,124,141
381138,1,40,1,28,1,1,0,45981,124,126
381139,1,26,1,11,1,0,0,26686,152,230
381140,1,70,1,8,0,1,1,36804,124,256
381141,0,71,1,28,1,1,0,51563,13,113
381142,1,64,1,46,1,1,0,47989,122,257
381143,0,25,1,35,1,0,0,41680,152,288
381144,1,24,1,24,0,0,1,24096,152,270
381145,0,27,1,33,0,1,1,28010,26,273
381146,0,24,1,50,1,0,0,37606,152,246
381147,1,22,1,8,0,0,1,66667,160,118
381148,0,22,1,6,1,0,0,25765,152,291
381149,0,51,1,28,1,1,0,40224,26,198
381150,1,45,1,28,0,1,1,36425,124,35
381151,0,46,1,28,0,1,1,110611,122,204
381152,1,23,1,24,1,0,0,2630,26,249
381153,0,49,1,40,0,1,1,31233,26,129
381154,0,38,1,35,0,1,1,45227,124,67
381155,0,35,1,8,0,1,1,44473,26,11
381156,0,20,1,8,1,0,0,34717,160,272
381157,0,30,1,8,0,0,0,24180,152,168
381158,0,54,1,30,0,1,1,23364,156,217
381159,0,61,1,48,0,1,1,2630,124,32
381160,1,53,1,41,0,1,1,48589,26,105
381161,0,23,1,36,1,0,1,39313,151,221
381162,0,23,1,15,1,0,0,39411,152,140
381163,0,42,1,28,0,1,1,51844,124,126
381164,0,24,1,21,1,0,0,30117,152,218
381165,0,26,1,7,0,0,1,43937,152,260
381166,0,23,1,28,0,0,1,40715,156,45
381167,0,23,1,41,1,0,0,31585,152,246
381168,1,24,1,23,1,0,0,30795,152,297
381169,0,45,1,8,0,1,0,34610,124,198
381170,0,25,1,16,1,0,0,2630,152,232
381171,0,23,1,39,1,0,0,27183,152,16
381172,1,40,1,35,0,1,1,32938,154,94
381173,0,22,1,37,0,0,1,31550,152,60
381174,0,25,1,8,1,0,0,39046,152,110
381175,1,23,1,3,1,0,0,30504,152,234
381176,1,50,1,46,1,1,0,29793,26,218
381177,0,59,1,29,0,1,1,25826,26,244
381178,1,23,1,24,0,0,1,25983,26,239
381179,1,23,1,2,1,0,0,24145,151,255
381180,0,62,1,8,0,1,0,32731,124,171
381181,1,29,1,46,1,0,0,28803,152,163
381182,0,45,1,8,0,1,1,55839,74,158
381183,1,22,1,6,1,0,0,24057,152,192
381184,1,24,1,47,1,0,1,41263,26,83
381185,1,20,1,6,1,0,0,27058,160,198
381186,0,36,1,28,0,1,1,43396,124,224
381187,0,33,1,3,0,1,1,25982,124,24
381188,0,65,1,3,0,1,1,29227,26,193
381189,0,39,1,18,0,1,0,29337,124,26
381190,1,44,1,46,1,1,0,16954,124,16
381191,1,53,1,48,0,1,1,2630,26,272
381192,0,20,1,28,0,1,1,47215,26,235
381193,1,32,1,33,1,1,0,31251,156,195
381194,1,21,1,4,0,1,1,22998,124,209
381195,1,23,1,8,0,0,1,48697,152,220
381196,0,26,1,39,1,0,0,58085,152,137
381197,0,20,1,36,0,0,1,35374,160,271
381198,0,38,1,27,0,1,1,24560,152,30
381199,0,52,1,28,0,2,1,44300,26,268
381200,0,24,1,35,1,0,0,36470,152,83
381201,0,42,1,28,1,1,0,33415,26,243
381202,0,39,1,39,0,1,1,34875,124,169
381203,0,45,1,28,0,2,1,63701,26,130
381204,1,26,1,27,0,0,1,2630,152,171
381205,0,65,1,14,1,1,0,32270,26,137
381206,0,35,1,36,0,1,0,36639,124,180
381207,1,23,1,14,1,0,0,39308,152,226
381208,1,20,1,8,0,0,1,40825,160,70
381209,1,21,1,50,1,0,0,31878,160,283
381210,1,60,1,28,0,1,1,39325,124,251
381211,0,71,1,50,1,1,0,40432,26,49
381212,1,51,1,28,0,1,1,49574,26,257
381213,0,53,1,33,0,2,1,31243,124,241
381214,0,57,1,31,0,1,1,2630,124,275
381215,0,67,1,45,0,1,1,2630,152,113
381216,1,25,1,32,0,0,1,2630,160,221
381217,1,43,1,37,1,1,0,36336,152,241
381218,0,38,1,47,0,1,1,23778,124,118
381219,0,69,1,8,0,1,1,2630,157,231
381220,0,74,1,28,1,1,1,28605,26,242
381221,1,55,1,41,0,1,1,37187,26,290
381222,0,21,1,46,1,0,0,27337,160,280
381223,0,50,1,28,1,1,0,47657,124,85
381224,1,49,1,33,0,1,1,2630,160,198
381225,0,35,1,18,0,1,1,2630,124,41
381226,0,52,1,10,0,2,1,29992,26,93
381227,0,43,1,33,0,1,1,2630,157,250
381228,1,20,1,16,0,0,1,22485,160,193
381229,1,56,1,28,0,1,1,29200,122,146
381230,1,25,1,44,1,0,0,26320,152,176
381231,1,26,1,2,1,0,0,25808,152,135
381232,1,30,1,47,0,1,1,30690,124,85
381233,1,27,1,6,1,0,0,16457,160,186
381234,0,39,1,28,0,1,1,60174,124,55
381235,0,23,1,30,1,0,0,32924,152,13
381236,1,23,1,3,0,0,1,27852,152,188
381237,0,28,1,8,1,0,0,36920,152,24
381238,1,21,1,28,1,0,0,42448,152,114
381239,0,26,1,50,1,0,0,30115,152,160
381240,1,21,1,17,1,0,0,23459,152,232
381241,0,50,1,46,0,1,1,40641,124,63
381242,1,28,1,29,1,0,0,40498,152,153
381243,1,44,1,28,1,1,0,43151,124,175
381244,1,23,1,5,0,0,1,21026,152,141
381245,0,61,1,46,1,1,0,37953,26,55
381246,0,46,1,46,0,1,1,36992,154,293
381247,0,35,1,29,0,1,1,2630,157,232
381248,1,25,1,6,1,0,0,19804,152,205
381249,0,24,1,8,0,0,1,2630,152,123
381250,0,24,1,45,1,0,0,21546,152,237
381251,0,41,1,8,1,1,0,33603,124,87
381252,0,25,1,11,1,0,0,20958,152,230
381253,0,25,1,39,1,0,0,28625,152,80
381254,0,61,1,20,1,1,0,2630,26,148
381255,0,39,1,1,0,1,1,2630,26,221
381256,0,41,1,28,0,1,1,26454,26,200
381257,1,26,1,28,1,0,0,33798,152,63
381258,0,53,1,35,1,1,1,21353,26,126
381259,0,29,1,28,0,0,0,2630,158,194
381260,1,25,1,28,0,0,0,30396,152,22
381261,1,52,1,28,0,1,1,33944,155,13
381262,1,43,1,28,0,1,1,35704,26,18
381263,1,30,1,8,1,0,0,2630,160,83
381264,1,43,1,18,0,1,1,27743,124,209
381265,0,22,1,46,0,0,1,32497,152,138
381266,1,22,1,28,1,0,0,28101,160,277
381267,0,74,1,33,1,1,0,22623,26,233
381268,0,57,1,30,1,1,0,26272,152,195
381269,1,23,1,13,0,0,1,28589,152,296
381270,1,53,1,28,0,1,1,2630,152,68
381271,1,67,1,28,0,1,1,30477,26,290
381272,0,23,1,3,1,0,0,26341,152,219
381273,0,55,1,46,1,1,0,2630,26,243
381274,1,22,1,29,1,0,0,33758,152,211
381275,1,32,1,28,1,0,0,2630,1,44
381276,1,27,1,8,0,0,1,49623,152,117
381277,0,22,1,3,1,0,0,26138,152,135
381278,0,25,1,2,0,1,1,2630,156,279
381279,0,38,1,28,0,1,1,33196,26,55
381280,0,29,1,15,1,0,0,24617,152,57
381281,1,20,1,28,0,1,1,41983,124,203
381282,1,24,1,25,1,0,0,22400,152,173
381283,0,20,1,27,1,0,0,26871,160,52
381284,0,49,1,28,0,1,1,45332,124,116
381285,1,23,1,29,1,0,0,29688,152,237
381286,0,64,1,12,1,1,0,2630,26,186
381287,0,31,1,33,1,1,0,2630,156,244
381288,0,44,1,28,0,1,1,18082,60,33
381289,0,36,1,16,0,1,1,2630,124,85
381290,0,38,1,28,0,1,1,52527,122,55
381291,0,50,1,30,0,1,1,35346,152,61
381292,1,24,1,41,0,0,1,46077,152,62
381293,0,20,1,50,1,0,0,36046,160,280
381294,0,27,1,43,0,0,1,2630,152,147
381295,1,25,1,41,1,0,0,36667,152,60
381296,0,42,1,28,0,2,1,32113,26,90
381297,1,24,1,30,1,0,0,27776,152,167
381298,1,37,1,47,1,1,0,38293,16,212
381299,0,44,1,28,1,1,0,28110,61,247
381300,0,44,1,8,0,1,0,46940,124,143
381301,0,64,1,22,0,1,1,2630,26,100
381302,1,24,1,46,1,0,0,35648,152,21
381303,1,22,1,33,1,0,0,29452,152,183
381304,1,51,1,46,1,1,0,27144,124,266
381305,1,20,1,37,0,0,1,55236,160,12
381306,0,49,1,8,0,1,1,40088,26,25
381307,1,24,1,15,1,0,0,28374,152,208
381308,0,33,1,28,0,1,1,2630,156,43
381309,1,25,1,6,1,0,0,29208,152,253
381310,0,28,1,28,0,1,1,30267,124,161
381311,0,25,1,8,1,0,0,61002,152,266
381312,0,21,1,6,1,0,0,24939,152,39
381313,1,44,1,28,0,1,1,46671,26,94
381314,1,61,1,8,0,1,0,42327,26,59
381315,1,26,1,41,1,0,0,27868,152,246
381316,0,53,1,28,0,1,1,61685,25,24
381317,1,54,1,8,0,1,0,31390,26,86
381318,0,28,1,11,0,0,1,2630,156,201
381319,0,24,1,11,1,0,0,29579,152,125
381320,1,22,1,41,0,0,1,52604,152,51
381321,1,24,1,11,0,0,1,40921,124,112
381322,0,64,1,47,0,1,1,29575,26,264
381323,0,76,1,28,0,1,0,35996,26,175
381324,1,65,1,28,1,1,0,47045,26,76
381325,0,36,1,14,0,1,1,27610,152,35
381326,0,25,1,28,1,0,0,34003,152,61
381327,0,51,1,0,0,1,1,2630,12,218
381328,0,26,1,29,1,0,0,71710,152,222
381329,0,66,1,2,0,1,1,35386,124,129
381330,1,47,1,28,1,1,0,34823,26,50
381331,0,56,1,8,0,1,1,42395,154,44
381332,1,24,1,4,1,0,0,27260,152,274
381333,1,30,1,41,1,0,0,47952,152,194
381334,0,30,1,6,1,0,0,28558,152,47
381335,0,25,1,32,1,0,0,25271,152,36
381336,0,24,1,28,1,0,0,29925,152,135
381337,1,36,1,35,1,1,0,25277,152,11
381338,0,51,1,15,0,1,1,37603,124,235
381339,1,21,1,50,0,0,1,24007,152,122
381340,0,42,1,29,1,1,0,36320,124,56
381341,0,25,1,41,1,0,0,30690,152,13
381342,0,22,1,16,1,0,0,19117,152,265
381343,1,71,1,29,1,1,0,31940,26,207
381344,1,37,1,28,0,1,1,31358,124,210
381345,1,22,1,33,1,0,0,35692,152,88
381346,1,20,1,37,0,0,1,30318,160,24
381347,0,55,1,8,0,1,1,29018,26,126
381348,1,21,1,24,1,1,0,2630,157,98
381349,1,23,1,46,1,0,0,25325,152,169
381350,1,22,1,41,1,0,0,33551,152,156
381351,0,55,1,28,0,1,1,43852,26,227
381352,0,49,1,8,1,1,0,2630,7,193
381353,1,48,1,46,0,1,1,34720,11,218
381354,1,32,1,30,1,0,0,36959,152,206
381355,1,52,1,28,1,1,0,42774,122,63
