性别,年龄,是否有驾照,所在地区,是否此前购买过车险,车龄,车辆是否发生过事故,年保费,购买渠道,距离上次沟通时间间隔,label
0,25,1,11,1,0,0,35786,152,53,0
0,40,1,28,0,1,1,33762,7,111,0
0,47,1,28,0,1,1,40050,124,199,0
0,24,1,27,1,0,1,37356,152,187,0
0,27,1,28,1,0,0,59097,152,297,0
0,22,1,30,1,0,0,40207,152,266,0
1,51,1,37,1,1,0,40118,26,107,0
0,25,1,41,1,0,0,23375,152,232,0
0,42,1,41,0,1,1,2630,26,277,0
1,37,1,12,1,1,0,27124,124,133,0
0,40,1,7,1,1,0,2630,124,91,0
0,64,1,28,0,2,1,32051,124,254,0
1,23,1,46,1,0,0,27688,26,29,0
0,47,1,3,0,1,1,28739,124,22,0
1,55,1,48,0,1,1,2630,124,169,0
0,24,1,28,1,0,0,42261,26,270,0
0,25,1,24,0,0,1,42660,152,207,0
0,41,1,10,0,1,1,15006,124,141,0
0,26,1,28,1,0,0,46139,152,35,0
1,28,1,37,1,0,0,34907,152,293,0
1,26,1,15,1,0,0,33599,152,78,0
1,24,1,6,1,0,0,35885,152,177,0
1,21,1,45,0,0,1,33346,160,73,0
1,42,1,8,0,1,1,2630,26,270,0
0,58,1,28,0,1,1,41016,24,201,0
1,27,1,10,1,0,0,18806,152,107,0
1,21,1,46,1,0,0,29917,160,153,0
0,44,1,8,1,1,0,31197,124,141,0
1,40,1,28,1,1,0,45981,124,126,0
1,26,1,11,1,0,0,26686,152,230,0
1,70,1,8,0,1,1,36804,124,256,0
0,71,1,28,1,1,0,51563,13,113,0
1,64,1,46,1,1,0,47989,122,257,0
0,25,1,35,1,0,0,41680,152,288,0
1,24,1,24,0,0,1,24096,152,270,0
0,27,1,33,0,1,1,28010,26,273,0
0,24,1,50,1,0,0,37606,152,246,0
1,22,1,8,0,0,1,66667,160,118,0
0,22,1,6,1,0,0,25765,152,291,0
0,51,1,28,1,1,0,40224,26,198,0
1,45,1,28,0,1,1,36425,124,35,0
0,46,1,28,0,1,1,110611,122,204,0
1,23,1,24,1,0,0,2630,26,249,0
0,49,1,40,0,1,1,31233,26,129,0
0,38,1,35,0,1,1,45227,124,67,0
0,35,1,8,0,1,1,44473,26,11,0
0,20,1,8,1,0,0,34717,160,272,0
0,30,1,8,0,0,0,24180,152,168,0
0,54,1,30,0,1,1,23364,156,217,0
0,61,1,48,0,1,1,2630,124,32,0
1,53,1,41,0,1,1,48589,26,105,0
0,23,1,36,1,0,1,39313,151,221,0
0,23,1,15,1,0,0,39411,152,140,0
0,42,1,28,0,1,1,51844,124,126,0
0,24,1,21,1,0,0,30117,152,218,0
0,26,1,7,0,0,1,43937,152,260,0
0,23,1,28,0,0,1,40715,156,45,0
0,23,1,41,1,0,0,31585,152,246,0
1,24,1,23,1,0,0,30795,152,297,0
0,45,1,8,0,1,0,34610,124,198,0
0,25,1,16,1,0,0,2630,152,232,0
0,23,1,39,1,0,0,27183,152,16,0
1,40,1,35,0,1,1,32938,154,94,0
0,22,1,37,0,0,1,31550,152,60,0
0,25,1,8,1,0,0,39046,152,110,0
1,23,1,3,1,0,0,30504,152,234,0
1,50,1,46,1,1,0,29793,26,218,0
0,59,1,29,0,1,1,25826,26,244,0
1,23,1,24,0,0,1,25983,26,239,0
1,23,1,2,1,0,0,24145,151,255,0
0,62,1,8,0,1,0,32731,124,171,0
1,29,1,46,1,0,0,28803,152,163,0
0,45,1,8,0,1,1,55839,74,158,0
1,22,1,6,1,0,0,24057,152,192,0
1,24,1,47,1,0,1,41263,26,83,0
1,20,1,6,1,0,0,27058,160,198,0
0,36,1,28,0,1,1,43396,124,224,0
0,33,1,3,0,1,1,25982,124,24,0
0,65,1,3,0,1,1,29227,26,193,0
0,39,1,18,0,1,0,29337,124,26,0
1,44,1,46,1,1,0,16954,124,16,0
1,53,1,48,0,1,1,2630,26,272,0
0,20,1,28,0,1,1,47215,26,235,0
1,32,1,33,1,1,0,31251,156,195,0
1,21,1,4,0,1,1,22998,124,209,0
1,23,1,8,0,0,1,48697,152,220,0
0,26,1,39,1,0,0,58085,152,137,0
0,20,1,36,0,0,1,35374,160,271,0
0,38,1,27,0,1,1,24560,152,30,0
0,52,1,28,0,2,1,44300,26,268,0
0,24,1,35,1,0,0,36470,152,83,0
0,42,1,28,1,1,0,33415,26,243,0
0,39,1,39,0,1,1,34875,124,169,0
0,45,1,28,0,2,1,63701,26,130,0
1,26,1,27,0,0,1,2630,152,171,0
0,65,1,14,1,1,0,32270,26,137,0
0,35,1,36,0,1,0,36639,124,180,0
1,23,1,14,1,0,0,39308,152,226,0
1,20,1,8,0,0,1,40825,160,70,0
1,21,1,50,1,0,0,31878,160,283,0
1,60,1,28,0,1,1,39325,124,251,0
0,71,1,50,1,1,0,40432,26,49,0
1,51,1,28,0,1,1,49574,26,257,0
0,53,1,33,0,2,1,31243,124,241,0
0,57,1,31,0,1,1,2630,124,275,0
0,67,1,45,0,1,1,2630,152,113,0
1,25,1,32,0,0,1,2630,160,221,0
1,43,1,37,1,1,0,36336,152,241,0
0,38,1,47,0,1,1,23778,124,118,0
0,69,1,8,0,1,1,2630,157,231,0
0,74,1,28,1,1,1,28605,26,242,0
1,55,1,41,0,1,1,37187,26,290,0
0,21,1,46,1,0,0,27337,160,280,0
0,50,1,28,1,1,0,47657,124,85,0
1,49,1,33,0,1,1,2630,160,198,0
0,35,1,18,0,1,1,2630,124,41,0
0,52,1,10,0,2,1,29992,26,93,0
0,43,1,33,0,1,1,2630,157,250,0
1,20,1,16,0,0,1,22485,160,193,0
1,56,1,28,0,1,1,29200,122,146,0
1,25,1,44,1,0,0,26320,152,176,0
1,26,1,2,1,0,0,25808,152,135,0
1,30,1,47,0,1,1,30690,124,85,0
1,27,1,6,1,0,0,16457,160,186,0
0,39,1,28,0,1,1,60174,124,55,0
0,23,1,30,1,0,0,32924,152,13,0
1,23,1,3,0,0,1,27852,152,188,0
0,28,1,8,1,0,0,36920,152,24,0
1,21,1,28,1,0,0,42448,152,114,0
