date,open,high,low,close,volume,openinterest,ma
2018-01-02,10.394,10.695,10.2,10.481,85540.0,0.0,0.0
2018-01-03,10.359,10.721,10.221,10.619,95865.0,0.0,0.0
2018-01-04,10.522,10.522,10.308,10.45,58727.0,0.0,0.0
2018-01-05,10.522,10.522,10.323,10.359,37811.0,0.0,0.0
2018-01-08,10.476,10.476,10.068,10.318,50125.0,0.0,0.0
2018-01-09,10.231,10.394,10.144,10.19,38312.0,0.0,0.0
2018-01-10,10.241,10.415,9.833,9.945,59000.0,0.0,0.0
2018-01-11,9.961,10.272,9.563,10.103,66869.0,0.0,0.0
2018-01-12,9.971,10.639,9.802,10.185,76090.0,0.0,0.0
2018-01-15,10.18,10.246,9.864,9.874,50944.0,0.0,0.0
2018-01-16,9.746,10.389,9.639,10.231,75232.0,0.0,0.0
2018-01-17,10.139,10.598,10.139,10.394,106541.0,0.0,0.0
2018-01-18,10.262,10.328,9.91,10.134,64246.0,0.0,0.0
2018-01-19,10.292,10.292,9.91,9.915,38825.0,0.0,0.0
2018-01-22,10.047,10.333,9.884,10.129,48461.0,0.0,0.0
2018-01-23,9.991,10.012,9.405,9.644,59564.0,0.0,0.0
2018-01-24,9.665,9.721,9.501,9.639,28459.0,0.0,0.0
2018-01-25,9.568,9.843,9.558,9.578,31950.0,0.0,0.0
2018-01-26,9.425,9.578,9.333,9.399,30161.0,0.0,0.0
2018-01-29,9.384,9.517,9.083,9.114,34296.0,0.0,0.0
2018-01-30,9.093,9.267,9.093,9.144,14578.0,0.0,0.0
2018-01-31,9.139,9.18,8.711,8.823,27624.0,0.0,0.0
2018-02-01,8.823,9.068,8.313,8.384,23506.0,0.0,0.0
2018-02-02,8.302,8.655,8.001,8.399,18951.0,0.0,0.0
2018-02-05,8.206,8.588,8.139,8.338,12428.0,0.0,0.0
2018-02-06,8.262,8.262,7.461,7.471,27438.0,0.0,0.0
2018-02-07,7.563,7.767,7.45,7.69,26711.0,0.0,0.0
2018-02-08,7.782,8.017,7.69,7.889,19802.0,0.0,0.0
2018-02-09,7.634,8.078,7.588,7.813,23099.0,0.0,0.0
2018-02-12,7.889,8.058,7.818,7.935,14426.0,0.0,0.0
2018-02-13,8.103,8.139,7.823,7.843,13857.0,0.0,0.0
2018-02-14,8.098,8.251,7.894,7.935,10192.0,0.0,0.0
2018-02-22,7.996,8.149,7.93,8.134,13701.0,0.0,0.0
2018-02-23,8.139,8.348,8.022,8.2,15154.0,0.0,0.0
2018-02-26,8.45,8.45,8.241,8.405,25851.0,0.0,0.0
2018-02-27,8.405,9.195,8.257,8.711,48149.0,0.0,0.0
2018-02-28,8.512,8.879,8.507,8.731,31046.0,0.0,0.0
2018-03-01,8.614,8.859,8.598,8.731,20588.0,0.0,0.0
2018-03-02,8.655,8.736,8.522,8.675,15445.0,0.0,0.0
2018-03-05,8.762,8.966,8.649,8.864,30291.0,0.0,0.0
2018-03-06,8.889,8.899,8.726,8.808,20748.0,0.0,0.0
2018-03-07,8.828,8.864,8.614,8.629,17704.0,0.0,0.0
2018-03-08,8.609,8.853,8.558,8.802,24292.0,0.0,0.0
2018-03-09,8.762,9.017,8.66,8.859,38523.0,0.0,0.0
2018-03-12,8.91,9.109,8.813,8.966,31885.0,0.0,0.0
2018-03-13,8.879,9.037,8.716,8.736,25605.0,0.0,0.0
2018-03-14,8.772,8.838,8.563,8.573,19908.0,0.0,0.0
2018-03-15,8.496,8.66,8.333,8.43,22616.0,0.0,0.0
2018-03-16,8.466,8.573,8.42,8.425,11799.0,0.0,0.0
2018-03-19,8.547,8.95,8.481,8.797,46416.0,0.0,0.0
2018-03-20,8.706,8.706,8.486,8.603,27569.0,0.0,0.0
2018-03-21,8.552,8.741,8.389,8.435,21475.0,0.0,0.0
2018-03-22,8.394,8.558,8.384,8.415,15290.0,0.0,0.0
2018-03-23,8.149,8.149,7.547,7.614,30799.0,0.0,0.0
2018-03-26,7.614,8.078,7.343,7.894,20842.0,0.0,0.0
2018-03-27,8.007,8.124,7.905,8.047,18774.0,0.0,0.0
2018-03-28,7.894,8.445,7.853,8.149,27966.0,0.0,0.0
2018-03-29,8.129,8.333,8.037,8.226,20275.0,0.0,0.0
2018-03-30,8.129,8.328,8.129,8.267,20495.0,0.0,0.0
2018-04-02,8.236,8.282,8.19,8.195,17768.0,0.0,0.0
2018-04-03,8.032,8.394,7.894,8.262,31037.0,0.0,0.0
2018-04-04,8.348,8.445,8.149,8.246,22834.0,0.0,0.0
2018-04-09,8.114,8.353,7.915,8.333,24881.0,0.0,0.0
2018-04-10,8.359,8.445,8.19,8.384,29472.0,0.0,0.0
2018-04-11,8.343,8.598,8.292,8.558,41566.0,0.0,0.0
2018-04-12,8.507,8.563,8.353,8.369,25660.0,0.0,0.0
2018-04-13,8.394,8.547,8.308,8.318,17854.0,0.0,0.0
2018-04-16,8.353,8.394,8.047,8.139,19125.0,0.0,0.0
2018-04-17,8.134,8.221,7.884,7.894,19909.0,0.0,0.0
2018-04-18,7.92,7.996,7.757,7.966,12000.0,0.0,0.0
2018-04-19,7.981,8.18,7.93,7.976,16412.0,0.0,0.0
2018-04-20,7.568,7.945,7.568,7.746,18799.0,0.0,0.0
2018-04-23,7.741,7.813,7.721,7.762,8512.0,0.0,0.0
2018-04-24,7.751,7.971,7.751,7.956,11247.0,0.0,0.0
2018-04-25,7.91,8.073,7.879,8.052,14046.0,0.0,0.0
2018-04-26,8.078,8.078,7.848,7.92,13096.0,0.0,0.0
2018-04-27,7.925,8.246,7.884,8.226,31314.0,0.0,0.0
2018-05-02,8.318,8.695,8.226,8.374,48539.0,0.0,0.0
2018-05-03,8.149,8.384,7.996,8.353,34213.0,0.0,0.0
2018-05-04,8.343,8.343,8.139,8.155,18552.0,0.0,0.0
2018-05-07,8.251,8.348,8.149,8.308,21244.0,0.0,0.0
2018-05-08,8.359,8.501,8.216,8.241,28655.0,0.0,0.0
2018-05-09,8.206,8.68,8.155,8.598,69000.0,0.0,0.0
2018-05-10,8.68,8.838,8.445,8.721,71923.0,0.0,0.0
2018-05-11,8.619,8.762,8.481,8.66,43794.0,0.0,0.0
2018-05-14,8.614,8.797,8.522,8.619,27999.0,0.0,0.0
2018-05-15,8.619,8.874,8.558,8.833,50707.0,0.0,0.0
2018-05-16,8.787,8.797,8.609,8.68,30934.0,0.0,0.0
2018-05-17,8.644,8.889,8.583,8.787,45844.0,0.0,0.0
2018-05-18,8.731,8.894,8.501,8.731,43664.0,0.0,0.0
2018-05-21,8.889,9.165,8.736,8.905,98357.0,0.0,0.0
2018-05-22,8.818,9.017,8.746,8.981,59911.0,0.0,0.0
2018-05-23,8.899,8.93,8.573,8.583,48394.0,0.0,0.0
2018-05-24,8.609,8.7,8.491,8.507,26410.0,0.0,0.0
2018-05-25,8.532,8.66,8.45,8.649,29105.0,0.0,0.0
2018-05-28,8.563,8.598,8.399,8.405,23712.0,0.0,0.0
2018-05-29,8.41,8.512,8.093,8.149,21637.0,0.0,0.0
2018-05-30,7.92,7.92,7.68,7.736,31529.0,0.0,0.0
2018-05-31,7.843,7.94,7.782,7.869,13240.0,0.0,0.0
2018-06-01,7.772,7.894,7.711,7.797,13623.0,0.0,0.0
2018-06-04,7.859,7.945,7.792,7.797,10032.0,0.0,0.0
2018-06-05,7.869,8.047,7.802,7.981,14861.0,0.0,0.0
2018-06-06,7.95,8.047,7.935,7.981,11733.0,0.0,0.0
2018-06-07,8.017,8.017,7.869,7.894,9527.0,0.0,0.0
2018-06-08,7.93,7.935,7.792,7.833,10130.0,0.0,0.0
2018-06-11,7.792,7.894,7.741,7.782,7470.0,0.0,0.0
2018-06-12,7.802,8.068,7.782,7.935,15149.0,0.0,0.0
2018-06-13,7.94,7.956,7.741,7.813,12310.0,0.0,0.0
2018-06-14,7.986,8.078,7.818,7.884,13525.0,0.0,0.0
2018-06-15,7.69,7.833,7.649,7.736,17729.0,0.0,0.0
2018-06-19,7.517,7.639,6.92,6.956,20714.0,0.0,0.0
2018-06-20,6.956,7.18,6.94,7.119,10712.0,0.0,0.0
2018-06-21,7.114,7.226,6.848,6.869,11003.0,0.0,0.0
2018-06-22,6.884,7.017,6.721,7.007,7678.0,0.0,0.0
2018-06-25,7.129,7.144,6.976,7.001,6654.0,0.0,0.0
2018-06-26,6.925,7.124,6.823,7.063,6132.0,0.0,0.0
2018-06-27,7.068,7.114,6.976,6.986,7474.0,0.0,0.0
2018-06-28,6.976,7.047,6.93,6.94,6196.0,0.0,0.0
2018-06-29,6.853,7.119,6.853,7.083,10230.0,0.0,0.0
2018-07-02,7.042,7.109,6.828,6.925,8444.0,0.0,0.0
2018-07-03,6.935,7.063,6.889,7.058,9225.0,0.0,0.0
2018-07-04,7.047,7.721,6.981,7.221,21995.0,0.0,0.0
2018-07-05,7.124,7.231,6.961,6.971,11042.0,0.0,0.0
2018-07-06,6.838,7.093,6.721,6.93,10677.0,0.0,0.0
2018-07-09,7.119,7.149,6.94,7.119,8024.0,0.0,0.0
2018-07-10,7.129,7.17,7.058,7.16,8740.0,0.0,0.0
2018-07-11,7.124,7.124,6.721,6.864,10221.0,0.0,0.0
2018-07-12,6.905,7.103,6.859,7.068,10647.0,0.0,0.0
2018-07-13,7.042,7.109,7.032,7.068,6032.0,0.0,0.0
2018-07-16,7.068,7.093,6.976,7.083,4725.0,0.0,0.0
2018-07-17,7.083,7.226,7.078,7.17,7957.0,0.0,0.0
2018-07-18,7.139,7.435,7.139,7.257,14777.0,0.0,0.0
2018-07-19,7.221,7.302,7.063,7.098,8174.0,0.0,0.0
2018-07-20,7.037,7.206,7.037,7.16,5567.0,0.0,0.0
2018-07-23,7.236,7.236,7.103,7.2,5144.0,0.0,0.0
2018-07-24,7.2,7.333,7.185,7.297,10164.0,0.0,0.0
2018-07-25,7.282,7.379,7.226,7.282,7861.0,0.0,0.0
2018-07-26,7.323,7.527,7.246,7.486,21858.0,0.0,0.0
2018-07-27,7.486,7.527,7.333,7.425,12075.0,0.0,0.0
2018-07-30,7.425,7.456,7.155,7.19,10383.0,0.0,0.0
2018-07-31,7.19,7.19,7.058,7.088,7493.0,0.0,0.0
2018-08-01,7.282,7.282,7.027,7.058,6176.0,0.0,0.0
2018-08-02,6.92,7.012,6.43,6.746,10927.0,0.0,0.0
2018-08-03,6.67,6.797,6.578,6.603,5007.0,0.0,0.0
2018-08-06,6.603,6.685,6.466,6.563,4354.0,0.0,0.0
2018-08-07,6.593,6.721,6.568,6.695,4301.0,0.0,0.0
2018-08-08,6.736,6.869,6.639,6.649,4916.0,0.0,0.0
2018-08-09,6.629,6.802,6.624,6.721,6742.0,0.0,0.0
2018-08-10,6.731,6.818,6.675,6.772,6893.0,0.0,0.0
2018-08-13,6.92,7.022,6.802,6.874,11299.0,0.0,0.0
2018-08-14,6.726,6.899,6.726,6.859,5514.0,0.0,0.0
2018-08-15,6.915,6.915,6.629,6.634,5195.0,0.0,0.0
2018-08-16,6.517,6.639,6.445,6.547,4896.0,0.0,0.0
2018-08-17,6.583,6.716,6.379,6.399,4149.0,0.0,0.0
2018-08-20,6.415,6.466,6.267,6.405,6594.0,0.0,0.0
2018-08-21,6.466,6.466,6.364,6.42,5428.0,0.0,0.0
2018-08-22,6.425,6.44,6.313,6.313,3686.0,0.0,0.0
2018-08-23,6.384,6.405,6.292,6.333,6455.0,0.0,0.0
2018-08-24,6.343,6.374,6.282,6.297,3614.0,0.0,0.0
2018-08-27,6.323,6.405,6.302,6.405,13496.0,0.0,0.0
2018-08-28,6.399,6.435,6.384,6.405,8998.0,0.0,0.0
