,sum,sum,sum,sum,mean,mean,mean,mean
,x,x*y,x^2,y,x,x*y,x^2,y
企业代号,,,,,,,,
E1,638,83670571327.38,16066,3992611831.67,22.0,2885192114.7372417,554.0,137676270.05758622
E10,612,4831954723.01,14650,322438933.12,18.545454545454547,146422870.39424244,443.93939393939394,9770876.761212122
E11,525,3965732173.62,14545,145549218.89,26.25,198286608.681,727.25,7277460.944499999
E12,354,4116690650.18,9118,193306346.57,23.6,274446043.34533334,607.8666666666667,12887089.771333333
E13,666,4302671921.059999,16206,210632451.39,18.5,119518664.47388887,450.1666666666667,5850901.427499999
E14,666,4032687565.39,16206,209084031.79,18.5,112019099.03861111,450.1666666666667,5807889.771944445
E15,488,3726074125.3,11726,184013422.1,18.76923076923077,143310543.28076923,451.0,7077439.311538462
E16,664,3789793066.35,16202,197754010.68,18.97142857142857,108279801.89571428,462.9142857142857,5650114.5908571435
E17,595,3229593699.83,13685,151446752.99,17.5,94988049.995,402.5,4454316.264411765
E18,666,3504757870.23,16206,184728032.83,18.5,97354385.28416666,450.1666666666667,5131334.245277778
E19,595,3211029126.28,13685,170531776.21,17.5,94442033.12588236,402.5,5015640.476764706
E2,666,11991824640.61,16206,540906147.83,18.5,333106240.01694447,450.1666666666667,15025170.773055557
E20,599,3477196076.08,14429,178961027.91,18.151515151515152,105369578.0630303,437.24242424242425,5423061.451818182
E21,633,3021765923.93,15757,117329975.39999999,19.181818181818183,91568664.36151515,477.4848484848485,3555453.8
E22,591,2586078193.7,13669,110882351.8,17.90909090909091,78366005.86969696,414.2121212121212,3360071.2666666666
E23,595,2881299114.24,13685,168669042.79,17.5,84744091.59529412,402.5,4960854.199705882
E24,656,3096590984.05,16138,134050457.88,19.294117647058822,91076205.4132353,474.6470588235294,3942660.5258823526
E25,660,809274235.99,16192,36982254.99,20.0,24523461.696666665,490.6666666666667,1120674.3936363638
E26,630,707230985.61,14910,36634498.36,18.0,20206599.588857144,426.0,1046699.9531428572
E27,630,895249227.55,14910,42871866.61,18.0,25578549.35857143,426.0,1224910.4745714285
E28,474,1075439280.44,11996,42720007.57,20.608695652173914,46758229.58434783,521.5652173913044,1857391.6334782608
E29,398,1129966510.06,11412,45171435.47,26.533333333333335,75331100.67066666,760.8,3011429.0313333333
E3,666,8168163428.71,16206,554797578.78,18.5,226893428.57527778,450.1666666666667,15411043.854999999
E30,491,1517074006.34,11907,71493447.69,20.458333333333332,63211416.93083333,496.125,2978893.65375
E31,666,945920615.67,16206,46163236.4,18.5,26275572.6575,450.1666666666667,1282312.1222222222
E32,549,965540538.37,13799,44150482.29,18.93103448275862,33294501.32310345,475.82758620689657,1522430.4237931033
E33,660,1092873265.71,16192,65745523.53,20.0,33117371.688181818,490.6666666666667,1992288.5918181818
E34,623,1883842533.94,15221,90156515.42999999,18.323529411764707,55407133.35117647,447.6764705882353,2651662.2185294116
E35,595,766152300.86,13685,33987132.88,17.5,22533891.201764707,402.5,999621.5552941178
E36,624,771844244.6800001,14896,35208995.92,19.5,24120132.646250002,465.5,1100281.1225
E37,666,850715895.46,16206,40722388.95,18.5,23630997.09611111,450.1666666666667,1131177.4708333334
E38,490,1038281744.9300001,12268,48352635.910000004,20.416666666666668,43261739.372083336,511.1666666666667,2014693.1629166668
E39,573,685236687.6600001,15091,29171167.310000002,23.875,28551528.652500004,628.7916666666666,1215465.3045833334
E4,658,18000708225.78,16142,1839969689.8700001,18.8,514305949.30799997,461.2,52570562.56771429
E40,660,849858800.0899999,16192,32120513.38,20.0,25753296.97242424,490.6666666666667,973348.8903030303
E41,666,724647037.39,16206,29278354.7,18.5,20129084.371944442,450.1666666666667,813287.6305555556
E42,411,616610095.58,10501,23225710.61,22.833333333333332,34256116.421111114,583.3888888888889,1290317.256111111
E43,337,485667600.76,9015,18337561.2,25.923076923076923,37359046.21230769,693.4615384615385,1410581.6307692307
E44,666,728824426.85,16206,32155989.97,18.5,20245122.968055557,450.1666666666667,893221.943611111
E45,497,686326142.88,12495,24516874.66,22.59090909090909,31196642.85818182,567.9545454545455,1114403.3936363636
E46,666,1011970802.6,16206,57938576.03,18.5,28110300.07222222,450.1666666666667,1609404.8897222222
E47,630,755836233.07,14910,46079211.04,18.0,21595320.944857143,426.0,1316548.886857143
E48,664,1227823659.9,16202,48183817.7,18.97142857142857,35080675.99714286,462.9142857142857,1376680.505714286
E49,526,699705881.67,13272,35148313.1,18.785714285714285,24989495.77392857,474.0,1255296.8964285715
E5,638,4872548976.93,15968,199619265.53,19.9375,152267155.5290625,499.0,6238102.0478125
E50,317,465186870.34,8767,19113678.35,24.384615384615383,35783605.41076923,674.3846153846154,1470282.9500000002
E51,666,650115278.0,16206,27599207.71,18.5,18058757.722222224,450.1666666666667,766644.6586111111
E52,539,521183033.65,13845,18146690.98,23.434782608695652,22660131.897826087,601.9565217391304,788986.5643478261
E53,592,857880307.3,14110,35969165.35,19.733333333333334,28596010.243333332,470.3333333333333,1198972.1783333335
E6,666,7703094783.37,16206,361624327.53000003,18.5,213974855.09361112,450.1666666666667,10045120.209166668
E7,666,7514593304.03,16206,512310631.52,18.5,208738702.88972223,450.1666666666667,14230850.875555554
E8,666,6928464445.64,16206,343938287.85,18.5,192457345.71222222,450.1666666666667,9553841.329166668
E9,666,5551323812.63,16206,298051121.18,18.5,154203439.23972222,450.1666666666667,8279197.810555556
