,sum
,金额
企业代号,
E1,3992611831.75
E10,322438933.12
E11,145549218.89
E12,193306346.57
E13,210632451.39000002
E14,209084031.79
E15,184013422.1
E16,197754010.68
E17,151446752.99
E18,184728032.83
E19,170531776.21
E2,540906147.8299999
E20,178961027.91
E21,117329975.39999999
E22,110882351.8
E23,168669042.79
E24,134050457.88
E25,36982254.99
E26,36634498.36
E27,42871866.61
E28,42720007.57
E29,45171435.47
E3,554797578.78
E30,71493447.69
E31,46163236.4
E32,44150482.29
E33,65745523.53
E34,90156515.43
E35,33987132.88
E36,35208995.92
E37,40722388.95
E38,48352635.910000004
E39,29171167.31
E4,1839969689.96
E40,32120513.38
E41,29278354.7
E42,23225710.61
E43,18337561.2
E44,32155989.97
E45,24516874.66
E46,57938576.03
E47,46079211.04
E48,48183817.7
E49,35148313.1
E5,199619265.53
E50,19113678.35
E51,27599207.71
E52,18146690.98
E53,35969165.35
E6,361624327.53000003
E7,512310631.52
E8,343938287.84999996
E9,298051121.18
